,Year of Release,Game Title,Game Price,Score,Votes,Genre
0,2013,Tomb Raider,14.99,8.61,221116,Adventure
1,2013,Don't Starve,9.99,8.6,101024,Survival
2,2013,"Papers, Please",9.99,8.58,59242,Political
3,2013,The Wolf Among Us,14.99,8.58,30144,Adventure
4,2013,Outlast,19.99,8.57,100083,Horror
5,2013,Age of Empires II (2013),19.99,8.51,97058,Strategy
6,2013,Gunpoint,9.99,8.48,12329,Stealth
7,2013,The Walking Dead: Season Two,14.99,8.45,27208,Zombies
8,2013,Game Dev Tycoon,9.99,8.43,40097,Management
9,2013,BioShock Infinite,7.49,8.39,131346,FPS
10,2013,Project Zomboid,19.99,8.39,191529,Survival
11,2013,Trine 2: Complete Story,4.99,8.38,20761,Puzzle Platformer
12,2013,Call of Juarez: Gunslinger,2.99,8.38,32257,Western
13,2013,Dust: An Elysian Tail,2.99,8.37,17804,Action
14,2013,Brothers - A Tale of Two Sons,14.99,8.36,39743,Adventure
15,2013,Antichamber,19.99,8.33,15969,Puzzle
16,2013,LEGO® Marvel™ Super Heroes,19.99,8.32,19181,LEGO
17,2013,Skullgirls 2nd Encore,24.99,8.3,27722,Fighting
18,2013,PAC-MAN™ Championship Edition DX+,9.99,8.29,7362,Arcade
19,2013,Risk of Rain,9.99,8.27,28773,Action Roguelike
20,2013,DmC: Devil May Cry,29.99,8.24,25508,Action
21,2013,Sonic & All-Stars Racing Transformed Collection,19.99,8.24,15562,Racing
22,2013,Long Live The Queen,9.99,8.24,6819,Visual Novel
23,2013,The Stanley Parable,14.99,8.21,43281,Comedy
24,2013,The Swapper,14.99,8.21,7017,Puzzle
25,2013,FINAL FANTASY VII,11.99,8.2,23238,JRPG
26,2013,Space Rangers HD: A War Apart,14.99,8.2,5736,Space
27,2013,100% Orange Juice,6.99,8.2,24091,Anime
28,2013,Enigmatis 2: The Mists of Ravenwood,9.99,8.19,1380,Hidden Object
29,2013,Brutal Legend,4.49,8.18,17396,Action
30,2013,"Cook, Serve, Delicious!",9.99,8.18,5352,Time Management
31,2013,Rogue Legacy,14.99,8.18,17992,Roguevania
32,2013,Arma 3,29.99,8.17,243009,Action
33,2013,Shadow Warrior,29.99,8.16,24640,Action
34,2013,PAYDAY 2,9.99,8.15,617418,Co-op
35,2013,The Plan,0.0,8.14,22253,Atmospheric
36,2013,Deus Ex: Human Revolution - Director's Cut,19.99,8.14,25339,Cyberpunk
37,2013,Race The Sun,9.99,8.13,6232,Procedural Generation
38,2013,SteamWorld Dig,9.99,8.13,6486,Platformer
39,2013,Super House of Dead Ninjas,6.99,8.13,1590,Action Roguelike
40,2013,FEZ,9.99,8.12,13845,Platformer
41,2013,Super Amazing Wagon Adventure,2.99,8.11,1908,Action
42,2013,Spelunky,14.99,8.1,15412,Platformer
43,2013,Guacamelee! Gold Edition,14.99,8.1,5788,Metroidvania
44,2013,Just Cause 2: Multiplayer Mod,0.0,8.07,15067,Open World
45,2013,Baldur's Gate: Enhanced Edition,19.99,8.04,13020,RPG
46,2013,Touhou Kishinjou ~ Double Dealing Character.,14.99,8.04,281,Bullet Hell
47,2013,Papo & Yo,14.99,8.03,2764,3D Platformer
48,2013,140,4.99,8.02,4393,Platformer
49,2013,fault - milestone one,14.99,8.01,3167,Visual Novel
50,2013,7 Days to Die,24.99,8.01,254527,Survival
